% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
40.911	1	4	4092	2	8	4	453	0
41.116	1	5	4112	7	3	14	1620	0
42.911	1	4	4292	2	8	4	453	0
45.7	1	3	4571	1	7	12	1239	0
46.122	1	1	4613	3	9	16	1908	0
46.253	1	6	4626	4	5	4	453	0
46.463	1	9	4647	4	4	14	1620	0
46.58	1	9	4659	1	4	14	1620	0
46.797	1	9	4680	8	4	14	1620	0
46.911	1	4	4692	2	8	4	453	0
47.028	1	4	4703	9	8	4	453	0
47.245	1	4	4725	6	8	4	453	0
47.462	1	4	4747	3	8	4	453	0
47.679	1	4	4768	10	8	4	453	0
47.797	1	9	4780	8	4	14	1620	0
47.896	1	4	4790	7	8	4	453	0
47.914	1	9	4792	5	4	14	1620	0
48.896	1	4	4890	7	8	4	453	0
48.914	1	9	4892	5	4	14	1620	0
49.013	1	4	4902	4	8	4	453	0
49.031	1	9	4904	2	4	14	1620	0
49.23	1	4	4924	1	8	4	453	0
49.447	1	4	4945	8	8	4	453	0
50.031	1	9	5004	2	4	14	1620	0
50.447	1	4	5045	8	8	4	453	0
50.564	1	4	5057	5	8	4	453	0
50.781	1	4	5079	2	8	4	453	0
50.998	1	4	5100	9	8	4	453	0
51.215	1	4	5122	6	8	4	453	0
52.031	1	9	5204	2	4	14	1620	0
52.215	1	4	5222	6	8	4	453	0
52.332	1	4	5234	3	8	4	453	0
52.52	1	7	5253	1	2	2	277	0
52.521	1	7	5253	2	2	2	277	0
53.332	1	4	5334	3	8	4	453	0
53.449	1	4	5345	10	8	4	453	0
53.666	1	4	5367	7	8	4	453	0
