0.118929	1	8
0.152929	5	8
0.237929	3	3
0.254929	1	3
0.318929	2	4
0.335929	6	4
0.352929	5	4
0.369929	2	8
0.409929	1	2
0.468929	32	1
0.485929	47	1
0.502929	10	1
0.696929	2	6
0.706929	1	7
0.719929	7	1
0.936929	1	1
1.12893	1	9
1.25493	15	3
1.25993	1	5
1.35293	3	4
1.37193	1	3
1.48693	2	8
1.57193	19	3
2.05393	1	1
2.48693	12	8
2.57193	14	3
2.58893	7	3
2.60393	2	8
2.78893	10	3
3.05393	2	1
3.35293	5	4
3.40993	2	2
3.69693	9	6
3.70693	2	7
3.72093	2	8
3.78893	1	3
3.81393	2	6
4.12893	6	9
4.25993	3	5
4.81393	4	6
4.83793	4	8
4.93093	3	6
5.05393	3	1
5.78893	2	3
5.95493	4	8
6.13093	1	6
7.28893	3	8
7.35293	5	4
8.13093	2	6
8.40593	7	8
9.05393	1	1
9.40993	1	2
9.52293	51	8
9.70693	1	7
9.90593	94	3
10.1229	1	3
10.1289	1	9
10.2599	1	5
10.3909	2	8
11.1229	2	3
11.3909	13	8
12.1309	1	6
12.5929	2	8
13.1229	5	3
13.5929	14	8
15.3529	1	4
15.5929	2	8
17.0539	14	1
17.1229	1	3
20.1309	1	6
20.5779	2	8
21.4099	17	2
21.5269	1	2
21.6949	69	8
21.7069	1	7
22.1289	7	9
22.2599	1	5
22.3459	7	8
22.5269	1	2
23.3459	6	8
24.5269	1	2
25.1229	7	3
25.4629	2	8
26.4629	47	8
28.4629	21	8
28.5269	1	2
28.5799	2	8
30.3479	98	8
30.9989	4	8
31.4699	1	4
32.1159	91	8
32.3329	7	8
32.4699	4	4
33.0539	1	1
33.3329	3	8
34.4699	5	4
35.4499	3	8
36.1309	2	6
36.5269	1	2
36.5669	2	8
37.6839	15	8
38.4699	3	4
38.8009	7	8
39.9179	2	8
40.9179	3	8
41.1229	7	3
42.9179	4	8
45.7069	2	7
46.1289	1	9
46.2599	1	5
46.4699	43	4
46.5869	84	4
46.8039	1	4
47.6859	16	8
47.9029	2	8
47.9209	1	4
49.0379	3	4
49.4539	4	8
50.0379	9	4
50.5709	23	8
50.7879	41	8
51.2219	3	8
52.0379	3	4
52.2219	8	8
52.3389	6	8
52.5269	2	2
52.5279	2	2
53.6729	4	8
